,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt
10600,143697714,40.626906,-74.075225,SingleFamily,0.0,0,10304,0,2300
10601,143698325,40.626371,-74.076462,VacantResidentialLand,0.0,0,10304,0,2837
10602,143698326,40.626396,-74.076195,SingleFamily,0.0,0,10304,0,2260
10603,143698327,40.626415,-74.075995,VacantResidentialLand,0.0,0,10304,0,2450
10604,143698377,40.625069,-74.078953,SingleFamily,0.0,0,10304,0,6300
10605,143698378,40.624932,-74.079194,SingleFamily,0.0,0,10304,0,1550
10606,143698397,40.625963,-74.07914,VacantResidentialLand,0.0,0,10304,0,39940
10607,143698398,40.625477,-74.079641,VacantResidentialLand,0.0,0,10304,0,3600
10608,143698399,40.625404,-74.079777,VacantResidentialLand,0.0,0,10304,0,9000
10609,32284198,40.626568,-74.075076,SingleFamily,0.0,0,10304,0,1703
10610,32284642,40.626322,-74.076969,SingleFamily,0.0,0,10304,0,5575
10611,32284643,40.626362,-74.076557,SingleFamily,0.0,0,10304,0,2498
10612,32284672,40.624876,-74.079269,SingleFamily,0.0,0,10304,0,764
10613,83936686,40.715738,-74.005382,SingleFamily,2.0,2,10007,8141024,4194
10614,2129053158,40.722693,-74.003438,Apartment,1.0,0,10007,0,0
10615,2118280756,40.713399,-74.010725,Apartment,3.0,2,10007,0,0
10616,2112170586,40.71632,-74.004281,Condominium,3.5,3,10007,6730359,0
10617,143078116,40.715814,-74.005319,SingleFamily,0.0,0,10007,0,2639
10618,143074612,40.710009,-74.010184,SingleFamily,0.0,0,10007,0,2132
10619,143074611,40.71006,-74.010139,SingleFamily,0.0,0,10007,0,2440
10620,63863545,40.714119,-74.006569,Condominium,0.0,0,10007,13453579,5000
10621,63863546,40.714119,-74.006569,Condominium,0.0,0,10007,11992414,0
10622,143074610,40.710118,-74.010094,SingleFamily,0.0,0,10007,0,2486
10623,143074609,40.710179,-74.010041,SingleFamily,0.0,0,10007,0,2520
10624,112515959,40.714119,-74.006569,Condominium,0.0,0,10007,4957711,0
10625,143074608,40.710343,-74.009898,SingleFamily,0.0,0,10007,0,2510
10626,72510660,40.713677,-74.007323,Cooperative,0.0,0,10007,3411131,0
10627,65316203,40.714267,-74.006954,Condominium,0.0,0,10007,9352044,0
10628,63863543,40.714267,-74.006954,Condominium,0.0,0,10007,9358550,0
10629,63863542,40.714267,-74.006954,Condominium,0.0,0,10007,4478964,0
10630,244750926,40.713941,-74.006971,Cooperative,0.0,0,10007,2106523,9500
10631,61965585,40.714267,-74.006954,Condominium,0.0,0,10007,7231187,0
10632,61965559,40.714267,-74.006954,Condominium,0.0,0,10007,2845301,0
10633,61965583,40.714267,-74.006954,Condominium,0.0,0,10007,3222684,0
10634,2137250170,40.715206,-74.009131,Condominium,2.0,2,10007,3005560,0
10635,65317132,40.714267,-74.006954,Condominium,0.0,0,10007,10266255,0
10636,2104970846,40.713913,-74.008528,MultiFamily2To4,2.0,3,10007,2311030,0
10637,38719272,40.819724,-74.167456,SingleFamily,2.0,4,7110,437330,4791
10638,38719484,40.818386,-74.161774,SingleFamily,3.0,4,7110,463765,5650
10639,30003466,40.725877,-73.992882,SingleFamily,2.0,3,10012,160817,33106
10640,82656063,40.817799,-74.162029,SingleFamily,2.0,3,7110,490851,9199
10641,31494198,40.717774,-74.005635,Condominium,0.0,0,10013,0,1996
10642,38719479,40.818065,-74.160992,SingleFamily,2.0,4,7110,430122,5650
10643,38719291,40.819379,-74.166152,SingleFamily,1.0,3,7110,367296,40105
10644,38719171,40.819121,-74.167184,SingleFamily,2.0,3,7110,373144,4199
10645,38719397,40.818075,-74.162705,SingleFamily,2.0,3,7110,455015,9583
10646,38005885,40.835262,-74.011822,SingleFamily,2.0,2,7657,296307,3598
10647,31494555,40.719063,-74.004348,SingleFamily,0.0,0,10013,0,1613
10648,31494830,40.720105,-74.003575,SingleFamily,0.0,0,10013,0,900
10649,38005882,40.835655,-74.011711,SingleFamily,0.0,0,7657,292978,4343
10650,38005883,40.835539,-74.011773,SingleFamily,0.0,0,7657,460992,5049
10651,31494557,40.719181,-74.004302,SingleFamily,0.0,0,10013,0,1124
10652,82655312,40.818321,-74.161616,SingleFamily,0.0,0,7110,409883,5537
10653,31494556,40.719129,-74.004344,SingleFamily,0.0,0,10013,0,1122
10654,38719398,40.817998,-74.162526,MultiFamily2To4,2.0,2,7110,616972,32670
10655,31494554,40.719026,-74.004426,SingleFamily,0.0,0,10013,12866577,1273
10656,38719393,40.818301,-74.163257,SingleFamily,0.0,0,7110,434485,9161
10657,38719347,40.8192,-74.164361,SingleFamily,2.0,3,7110,421995,8694
10658,38719289,40.819415,-74.16644,SingleFamily,3.0,5,7110,478780,5519
10659,38719274,40.819812,-74.167663,SingleFamily,1.0,3,7110,402063,9100
10660,38719271,40.819657,-74.167308,SingleFamily,0.0,0,7110,375456,4500
10661,143072067,40.707764,-74.013298,VacantResidentialLand,0.0,0,10006,0,3758
10662,245083611,40.708408,-74.012978,VacantResidentialLand,0.0,0,10006,0,16844
10663,143074214,40.709461,-74.011971,SingleFamily,0.0,0,10006,0,790
10664,2102682643,40.70752,-74.0132,MultiFamily2To4,2.0,2,10006,2103360,0
10665,2103222913,40.707382,-74.01342,MultiFamily2To4,2.5,2,10006,2275015,0
10666,2106291784,40.706569,-74.013893,MultiFamily2To4,3.5,2,10006,2402554,0
10667,2108338989,40.707382,-74.01342,MultiFamily2To4,1.0,1,10006,814062,0
10668,2121387126,40.707382,-74.01342,MultiFamily2To4,2.5,3,10006,2313372,0
10669,2085650024,40.694059,-73.992161,MultiFamily5Plus,1.0,1,11201,0,0
10670,2085807672,40.694059,-73.992161,MultiFamily5Plus,2.0,2,11201,0,0
10671,2085989949,40.694059,-73.992161,MultiFamily5Plus,2.0,2,11201,0,0
10672,2085989948,40.694059,-73.992161,MultiFamily5Plus,2.0,2,11201,0,0
10673,2088006594,40.694059,-73.992161,MultiFamily5Plus,1.0,0,11201,0,0
10674,2087192633,40.694059,-73.992161,MultiFamily5Plus,1.0,1,11201,0,0
10675,2085590138,40.694059,-73.992161,MultiFamily5Plus,1.0,1,11201,0,0
10676,2086140513,40.694059,-73.992161,Apartment,2.0,3,11201,0,0
10677,2086994054,40.694059,-73.992161,Apartment,1.0,1,11201,0,0
10678,2088211838,40.694059,-73.992161,Apartment,1.0,1,11201,0,0
10679,2088641444,40.694059,-73.992161,Apartment,1.0,1,11201,0,0
10680,2088797589,40.694059,-73.992161,Apartment,1.0,1,11201,0,0
10681,2088837025,40.694059,-73.992161,Apartment,1.0,1,11201,0,0
10682,2089320792,40.693983,-73.991889,Apartment,1.0,1,11201,0,0
10683,2089320793,40.693983,-73.991889,Apartment,1.0,1,11201,0,0
10684,2089464743,40.694059,-73.992161,Apartment,1.0,0,11201,0,0
10685,2089499444,40.694059,-73.992161,Apartment,2.0,2,11201,0,0
10686,2089499445,40.693983,-73.991889,Apartment,1.0,1,11201,0,0
10687,2086880041,40.694059,-73.992161,MultiFamily5Plus,1.0,0,11201,0,0
10688,2091283742,40.693983,-73.991889,MultiFamily2To4,1.0,1,11201,539074,0
10689,2091290485,40.693983,-73.991889,MultiFamily2To4,2.0,2,11201,1033671,0
10690,2127583730,40.69415,-73.99213,MultiFamily2To4,2.0,2,11201,1118076,0
10691,2099293109,40.69415,-73.99213,Unknown,0.0,0,11201,1299352,0
10692,2099293558,40.69415,-73.99213,Unknown,0.0,0,11201,1299352,0
10693,2101131038,40.69415,-73.99213,Unknown,0.0,0,11201,1299352,0
10694,2097662299,40.694613,-73.988562,MultiFamily2To4,3.0,3,11201,2039690,0
10695,2095572277,40.691789,-73.984902,MultiFamily5Plus,1.0,1,11201,0,0
10696,30615098,40.692336,-73.984472,SingleFamily,0.0,0,11201,0,1904
10697,30615101,40.692448,-73.980149,MultiFamily2To4,1.0,1,11201,0,77101
10698,30615102,40.692469,-73.981062,Cooperative,1.0,1,11201,650888,78408
10699,2095557727,40.691768,-73.98454,Apartment,1.0,1,11201,0,0
10700,2097860274,40.692045,-73.985827,MultiFamily2To4,1.0,2,11201,832296,0
10701,2095572275,40.691789,-73.984902,Apartment,2.0,2,11201,0,0
10702,2095557707,40.691768,-73.98454,Apartment,1.0,0,11201,0,0
10703,2095557711,40.691768,-73.98454,Apartment,1.0,0,11201,0,0
10704,89068727,40.692576,-73.98497,Apartment,1.0,1,11201,0,25500
10705,2094764552,40.691768,-73.98454,MultiFamily5Plus,1.0,1,11201,0,0
10706,2095557722,40.691768,-73.98454,MultiFamily5Plus,1.0,1,11201,0,0
10707,252221299,40.692469,-73.981062,Cooperative,0.0,0,11201,43586,0
10708,2095502933,40.691789,-73.984902,MultiFamily5Plus,1.0,1,11201,0,0
10709,244995232,40.692448,-73.980149,MultiFamily2To4,1.0,1,11201,653605,77101
10710,72536922,40.692448,-73.980149,Cooperative,1.0,1,11201,670118,0
10711,72656700,40.692436,-73.980133,Cooperative,1.0,1,11201,672782,0
10712,72656701,40.692448,-73.980149,Cooperative,2.0,3,11201,1031057,0
10713,72656702,40.692448,-73.980149,Cooperative,0.0,0,11201,384961,0
10714,72656703,40.692448,-73.980149,Cooperative,0.0,0,11201,402034,0
10715,72656704,40.692448,-73.980149,Cooperative,0.0,0,11201,384961,0
10716,72656705,40.692448,-73.980149,Cooperative,1.5,1,11201,729313,0
10717,72656706,40.692448,-73.980149,Cooperative,1.0,0,11201,452416,0
10718,72656707,40.692448,-73.980149,Cooperative,0.0,0,11201,397150,0
10719,30581461,40.682087,-73.976904,Cooperative,0.0,0,11217,7741253,2930
10720,2113147761,40.687245,-73.983856,MultiFamily2To4,1.0,0,11217,552694,0
10721,2103222478,40.688064,-73.979435,Apartment,2.0,2,11217,0,0
10722,2114598212,40.73093,-73.990158,MultiFamily2To4,1.0,1,11217,899086,0
10723,2095989872,40.683369,-73.979327,Unknown,0.0,0,11217,1143633,0
10724,2097540239,40.681297,-73.980752,SingleFamily,2.0,2,11217,1472355,6098
10725,30581889,40.681063,-73.980354,Condominium,0.0,0,11217,759465,6000
10726,30581890,40.681063,-73.980354,Condominium,0.0,0,11217,760617,6000
10727,30581898,40.680985,-73.980408,MultiFamily2To4,1.0,1,11217,750579,6000
10728,30581907,40.680812,-73.980343,Condominium,0.0,0,11217,871316,2080
10729,30581908,40.680812,-73.980343,Condominium,1.0,2,11217,822536,2080
10730,247859854,40.6802,-73.97789,Condominium,0.0,0,11217,0,6000
10731,30581897,40.680985,-73.980408,Condominium,1.0,1,11217,654309,6000
10732,2102462016,40.677467,-73.982592,MultiFamily2To4,1.0,1,11217,679160,0
10733,154065671,40.6802,-73.97789,Condominium,0.0,0,11217,0,2080
10734,2094217146,40.681341,-73.979983,MultiFamily2To4,1.0,1,11217,662011,0
10735,2095831730,40.678149,-73.982145,Unknown,0.0,0,11217,1085505,0
10736,2095950786,40.678149,-73.982145,Unknown,0.0,0,11217,1085505,0
10737,2095987310,40.678214,-73.982102,Apartment,1.0,1,11217,0,0
10738,30581881,40.680936,-73.980258,Condominium,0.0,0,11217,885651,6000
10739,2096217465,40.679289,-73.981372,Unknown,0.0,0,11217,1123545,0
10740,2096268182,40.677467,-73.982592,Unknown,0.0,0,11217,1075082,0
10741,2096382745,40.677467,-73.982592,Unknown,0.0,0,11217,1075082,0
10742,2096414327,40.679289,-73.981372,Unknown,0.0,0,11217,1123545,0
